,Mnemonic Code,Day of Confirmation Date,Bookings,Booking Status,Week_Number,year
31825,NYCIK,2016-03-26,8,Cancelled,12,2016
31862,NYCIK,2016-01-12,4,Cancelled,2,2016
32018,LAXWP,2016-03-27,13,Confirmed,12,2016
32110,MIASS,2016-03-15,25,Cancelled,11,2016
32405,LAXWP,2016-03-23,10,Cancelled,12,2016
32420,NYCIK,2016-02-19,4,Cancelled,7,2016
32666,MIASS,2016-03-29,16,Confirmed,13,2016
32667,MIASS,2016-03-28,16,Confirmed,13,2016
32725,SFODR,2016-03-19,1,Cancelled,11,2016
32916,NYCIK,2016-03-09,12,Cancelled,10,2016
32947,NYCIK,2016-03-16,11,Cancelled,11,2016
32965,LAXWP,2016-03-29,8,Cancelled,13,2016
32966,LAXWP,2016-03-29,8,Confirmed,13,2016
32967,NYCIK,2016-03-22,7,Confirmed,12,2016
32968,NYCIK,2016-03-28,9,Confirmed,13,2016
32979,LAXWP,2016-03-28,5,Confirmed,13,2016
32983,NYCIK,2016-03-15,6,Cancelled,11,2016
33217,MIASS,2016-03-30,16,Cancelled,13,2016
33270,SFODR,2016-03-20,6,Cancelled,11,2016
33271,SFODR,2016-03-22,11,Cancelled,12,2016
33274,SFODR,2016-03-27,15,Confirmed,12,2016
33525,LAXWP,2016-03-30,12,Confirmed,13,2016
33549,NYCIK,2016-03-24,11,Cancelled,12,2016
33554,LAXWP,2016-02-20,7,Cancelled,7,2016
33824,MIASS,2016-03-30,16,Confirmed,13,2016
33825,MIASS,2016-03-31,23,Confirmed,13,2016
