Mnemonic Code,Day of Confirmation Date,Bookings,Booking Status,Week_Number,year,month,,,Mnemonic Code
MIAEP,1/19/2018,4,Confirmed,3,2018,1,,,
MIAEP,1/19/2018,11,Cancelled,3,2018,1,,,
NTCME,1/15/2018,4,Confirmed,3,2018,1,,,
RUTTH,1/15/2018,2,Confirmed,3,2018,1,,,
RUTTH,1/16/2018,1,Cancelled,3,2018,1,,,
PITHM,1/20/2018,3,Cancelled,3,2018,1,,,
SANPR,1/17/2018,1,Confirmed,3,2018,1,,,
SANPR,1/19/2018,1,Confirmed,3,2018,1,,,
SBAGG,1/21/2018,1,Confirmed,3,2018,1,,,
SANSO,1/20/2018,3,Confirmed,3,2018,1,,,
SAVKB,1/12/2018,2,Cancelled,2,2018,1,,,
SAVKB,1/20/2018,1,Confirmed,3,2018,1,,,
SBAGG,1/19/2018,1,Cancelled,3,2018,1,,,
SANPR,1/20/2018,1,Confirmed,3,2018,1,,,
ORDCM,1/17/2018,3,Confirmed,3,2018,1,,,
SEAAX,1/18/2018,2,Confirmed,3,2018,1,,,
PDXPM,1/16/2018,7,Confirmed,3,2018,1,,,
PDXVP,1/17/2018,1,Cancelled,3,2018,1,,,
PHLPM,1/14/2018,1,Cancelled,2,2018,1,,,
PHLPP,1/14/2018,2,Confirmed,2,2018,1,,,
PHLPP,1/14/2018,3,Cancelled,2,2018,1,,,
SEAAX,1/19/2018,4,Confirmed,3,2018,1,,,
WDCDV,1/18/2018,1,Confirmed,3,2018,1,,,
WDCDV,1/19/2018,4,Confirmed,3,2018,1,,,
WDCDV,1/20/2018,2,Confirmed,3,2018,1,,,
WDCDV,1/20/2018,1,Cancelled,3,2018,1,,,
WDCHG,1/13/2018,2,Cancelled,2,2018,1,,,
WDCHG,1/19/2018,1,Confirmed,3,2018,1,,,
WDCLR,1/16/2018,6,Cancelled,3,2018,1,,,
WDCMO,1/11/2018,4,Cancelled,2,2018,1,,,
WDCMO,1/20/2018,2,Confirmed,3,2018,1,,,
WDCPA,1/15/2018,2,Confirmed,3,2018,1,,,
WDCRG,1/18/2018,4,Confirmed,3,2018,1,,,
WDCDP,1/20/2018,8,Confirmed,3,2018,1,,,
SEAAX,1/20/2018,3,Confirmed,3,2018,1,,,
SEAPD,1/14/2018,2,Cancelled,2,2018,1,,,
SEASM,1/21/2018,3,Confirmed,3,2018,1,,,
SFOBC,1/16/2018,5,Confirmed,3,2018,1,,,
SLCSL,1/15/2018,3,Cancelled,3,2018,1,,,
WDCDP,1/17/2018,7,Confirmed,3,2018,1,,,
WDCDP,1/19/2018,6,Confirmed,3,2018,1,,,
ORDCH,1/19/2018,3,Confirmed,3,2018,1,,,
DENDM,1/18/2018,2,Cancelled,3,2018,1,,,
DENDM,1/20/2018,3,Confirmed,3,2018,1,,,
DENDM,1/21/2018,6,Confirmed,3,2018,1,,,
GCMSE,1/16/2018,7,Cancelled,3,2018,1,,,
INTCH,1/19/2018,1,Cancelled,3,2018,1,,,
INTCH,1/20/2018,2,Confirmed,3,2018,1,,,
LAXGY,1/12/2018,6,Cancelled,2,2018,1,,,
LAXGY,1/20/2018,1,Confirmed,3,2018,1,,,
DENBO,1/11/2018,3,Confirmed,2,2018,1,,,
CLTKM,1/20/2018,2,Confirmed,3,2018,1,,,
CLTKM,1/19/2018,1,Confirmed,3,2018,1,,,
ORDCM,1/11/2018,1,Confirmed,2,2018,1,,,
BALMN,1/20/2018,2,Confirmed,3,2018,1,,,
BNAAE,1/20/2018,1,Confirmed,3,2018,1,,,
BOSML,1/20/2018,2,Confirmed,3,2018,1,,,
BOSNZ,1/19/2018,2,Confirmed,3,2018,1,,,
BOSNZ,1/20/2018,4,Confirmed,3,2018,1,,,
